Word                     	Lemmatized               	           Frequency
0                        	0                        	                  60
000                      	000                      	                   4
0001                     	0001                     	                   1
001                      	001                      	                  10
002                      	002                      	                   3
004                      	004                      	                   1
006                      	006                      	                   2
008                      	008                      	                   1
01                       	01                       	                   1
01032                    	01032                    	                   1
011                      	011                      	                   1
012                      	012                      	                   1
016                      	016                      	                   1
02                       	02                       	                   2
02192                    	02192                    	                   1
022                      	022                      	                   3
025                      	025                      	                   1
03                       	03                       	                   2
039                      	039                      	                   1
04                       	04                       	                   2
040                      	040                      	                   1
048                      	048                      	                   1
049                      	049                      	                   1
05                       	05                       	                  12
06                       	06                       	                   1
07                       	07                       	                   2
08                       	08                       	                   1
083                      	083                      	                   1
085                      	085                      	                   1
1                        	1                        	                  97
10                       	10                       	                  18
100                      	100                      	                   9
1000                     	1000                     	                   1
1007                     	1007                     	                   1
102                      	102                      	                   1
103                      	103                      	                   1
108                      	108                      	                   3
109                      	109                      	                   1
11                       	11                       	                   4
1160                     	1160                     	                   1
1186                     	1186                     	                   1
12                       	12                       	                  13
13                       	13                       	                   6
130                      	130                      	                   1
14                       	14                       	                   9
140                      	140                      	                   1
15                       	15                       	                   8
150                      	150                      	                   3
151                      	151                      	                   1
156                      	156                      	                   2
158                      	158                      	                   2
159                      	159                      	                   1
15th                     	15th                     	                   6
16                       	16                       	                   5
160                      	160                      	                   1
161                      	161                      	                   2
164                      	164                      	                   1
166                      	166                      	                   1
169                      	169                      	                   1
16S                      	16S                      	                   4
17                       	17                       	                   3
18                       	18                       	                  11
185                      	185                      	                   1
19                       	19                       	                   5
1984                     	1984                     	                   3
1E                       	1E                       	                   1
2                        	2                        	                  71
20                       	20                       	                  11
2006                     	2006                     	                   5
2008                     	2008                     	                   1
2009                     	2009                     	                   3
201                      	201                      	                   1
2010                     	2010                     	                   1
2011                     	2011                     	                   1
2012                     	2012                     	                   3
2013                     	2013                     	                   4
2014                     	2014                     	                   1
2015                     	2015                     	                   1
2016                     	2016                     	                   3
2017                     	2017                     	                   1
2018                     	2018                     	                   4
2019                     	2019                     	                   3
2020                     	2020                     	                   6
2021                     	2021                     	                   1
207                      	207                      	                   1
21                       	21                       	                   5
214                      	214                      	                   1
2143                     	2143                     	                   1
22                       	22                       	                   5
227                      	227                      	                   1
23                       	23                       	                   2
24                       	24                       	                   2
242                      	242                      	                   1
249                      	249                      	                   1
25                       	25                       	                   2
250                      	250                      	                   1
26                       	26                       	                   6
27                       	27                       	                   4
28                       	28                       	                   4
281                      	281                      	                   1
29                       	29                       	                   1
2944                     	2944                     	                   1
298                      	298                      	                   2
3                        	3                        	                  39
30                       	30                       	                   6
300                      	300                      	                   2
3000                     	3000                     	                   1
302                      	302                      	                   1
31                       	31                       	                   2
315                      	315                      	                   1
32                       	32                       	                   2
322                      	322                      	                   1
33                       	33                       	                   3
34                       	34                       	                   3
3400                     	3400                     	                   1
343                      	343                      	                   1
3479                     	3479                     	                  11
35                       	35                       	                   2
359                      	359                      	                   1
36                       	36                       	                   4
362                      	362                      	                   1
373                      	373                      	                   1
378                      	378                      	                   1
38                       	38                       	                   1
381                      	381                      	                   6
39                       	39                       	                   1
391                      	391                      	                   1
392                      	392                      	                   1
3D                       	3D                       	                   3
3DSTE                    	3DSTE                    	                   2
3p                       	3p                       	                   6
4                        	4                        	                  37
40                       	40                       	                   6
405                      	405                      	                   1
