Word                     	Lemmatized               	           Frequency
1                        	1                        	                  97
nCBITaxon10090           	nCBITaxon10090           	                  86
study                    	study                    	                  79
patients                 	patient                  	                  73
2                        	2                        	                  71
based                    	base                     	                  65
0                        	0                        	                  60
results                  	result                   	                  52
using                    	use                      	                  51
data                     	data                     	                  48
treatment                	treatment                	                  43
used                     	use                      	                  42
analysis                 	analysis                 	                  41
control                  	control                  	                  40
5                        	5                        	                  39
3                        	3                        	                  39
high                     	high                     	                  37
4                        	4                        	                  37
methods                  	method                   	                  37
different                	different                	                  37
time                     	time                     	                  34
compared                 	compare                  	                  33
method                   	method                   	                  33
cells                    	cell                     	                  30
due                      	due                      	                  29
years                    	year                     	                  29
health                   	health                   	                  29
associated               	associate                	                  28
significant              	significant              	                  28
one                      	one                      	                  28
case                     	case                     	                  27
cell                     	cell                     	                  26
among                    	among                    	                  26
women                    	woman                    	                  26
nCBIGene3479             	nCBIGene3479             	                  26
low                      	low                      	                  25
6                        	6                        	                  25
7                        	7                        	                  25
showed                   	show                     	                  25
energy                   	energy                   	                  25
effects                  	effect                   	                  24
human                    	human                    	                  24
mESHD007239              	mESHD007239              	                  24
nCBITaxon520             	nCBITaxon520             	                  24
binding                  	binding                  	                  23
use                      	use                      	                  23
potential                	potential                	                  23
role                     	role                     	                  22
studies                  	study                    	                  22
pandemic                 	pandemic                 	                  22
group                    	group                    	                  22
nCBIGene7398             	nCBIGene7398             	                  22
approach                 	approach                 	                  21
95                       	95                       	                  21
8                        	8                        	                  21
mESHD009369              	mESHD009369              	                  20
present                  	present                  	                  20
activity                 	activity                 	                  20
stability                	stability                	                  20
temperature              	temperature              	                  20
significantly            	significantly            	                  20
induced                  	induced                  	                  20
obtained                 	obtain                   	                  20
model                    	model                    	                  19
system                   	system                   	                  19
higher                   	high                     	                  19
performance              	performance              	                  19
increased                	increase                 	                  19
including                	include                  	                  19
three                    	three                    	                  19
10                       	10                       	                  18
efficient                	efficient                	                  18
nCBIGene102657           	nCBIGene102657           	                  18
risk                     	risk                     	                  18
patient                  	patient                  	                  17
surface                  	surface                  	                  17
molecular                	molecular                	                  17
found                    	found                    	                  17
life                     	life                     	                  17
factors                  	factor                   	                  17
care                     	care                     	                  17
two                      	two                      	                  17
specific                 	specific                 	                  17
cI                       	cI                       	                  17
provides                 	provide                  	                  16
well                     	well                     	                  16
size                     	size                     	                  16
highly                   	highly                   	                  16
various                  	various                  	                  16
species                  	specie                   	                  16
number                   	number                   	                  16
interaction              	interaction              	                  16
findings                 	finding                  	                  16
mean                     	mean                     	                  16
mESHC000657245           	mESHC000657245           	                  16
measures                 	measure                  	                  16
events                   	event                    	                  16
non                      	non                      	                  16
bone                     	bone                     	                  16
materials                	material                 	                  16
cA                       	cA                       	                  16
nCBITaxon749906          	nCBITaxon749906          	                  16
long                     	long                     	                  15
active                   	active                   	                  15
complex                  	complex                  	                  15
region                   	region                   	                  15
levels                   	level                    	                  15
critical                 	critical                 	                  15
mESHD003643              	mESHD003643              	                  15
multiple                 	multiple                 	                  15
global                   	global                   	                  15
provide                  	provide                  	                  14
combined                 	combine                  	                  14
rate                     	rate                     	                  14
mESHD014867              	mESHD014867              	                  14
reaction                 	reaction                 	                  14
flexible                 	flexible                 	                  14
developed                	developed                	                  14
research                 	research                 	                  14
identified               	identify                 	                  14
conclusion               	conclusion               	                  14
addition                 	addition                 	                  14
proposed                 	propose                  	                  14
included                 	include                  	                  14
evaluation               	evaluation               	                  14
safety                   	safety                   	                  14
center                   	center                   	                  14
nCBIGene397415           	nCBIGene397415           	                  14
level                    	level                    	                  14
dNA                      	dNA                      	                  14
quality                  	quality                  	                  14
co                       	co                       	                  14
9                        	9                        	                  14
nCBITaxon2697049         	nCBITaxon2697049         	                  14
mESHD014148              	mESHD014148              	                  14
atomization              	atomization              	                  14
acid                     	acid                     	                  13
formation                	formation                	                  13
mESHD006108              	mESHD006108              	                  13
first                    	first                    	                  13
new                      	new                      	                  13
vs                       	v                        	                  13
age                      	age                      	                  13
12                       	12                       	                  13
conditions               	condition                	                  13
experimental             	experimental             	                  13
series                   	series                   	                  13
clinical                 	clinical                 	                  13
period                   	period                   	                  13
phase                    	phase                    	                  13
synthesis                	synthesis                	                  13
groups                   	group                    	                  13
development              	development              	                  13
pG                       	pG                       	                  13
therapy                  	therapy                  	                  13
sensor                   	sensor                   	                  13
pd                       	pd                       	                  13
hA                       	hA                       	                  13
fFSB                     	fFSB                     	                  13
performed                	perform                  	                  12
fc                       	fc                       	                  12
cellular                 	cellular                 	                  12
interactions             	interaction              	                  12
anti                     	anti                     	                  12
show                     	show                     	                  12
response                 	response                 	                  12
limited                  	limited                  	                  12
properties               	property                 	                  12
gene                     	gene                     	                  12
protein                  	protein                  	                  12
many                     	many                     	                  12
single                   	single                   	                  12
05                       	05                       	                  12
collected                	collect                  	                  12
signals                  	signal                   	                  12
following                	follow                   	                  12
increase                 	increase                 	                  12
transmission             	transmission             	                  12
population               	population               	                  12
nCBIGene161882           	nCBIGene161882           	                  12
education                	education                	                  12
post                     	post                     	                  12
area                     	area                     	                  12
structure                	structure                	                  12
pharmacists              	pharmacist               	                  12
good                     	good                     	                  12
consistency              	consistency              	                  12
snO2                     	snO2                     	                  12
nCBIGene236899           	nCBIGene236899           	                  12
mESHD003865              	mESHD003865              	                  12
common                   	common                   	                  11
enhanced                 	enhance                  	                  11
reduced                  	reduce                   	                  11
exhibited                	exhibit                  	                  11
20                       	20                       	                  11
self                     	self                     	                  11
investigated             	investigate              	                  11
expression               	expression               	                  11
process                  	process                  	                  11
outcomes                 	outcome                  	                  11
management               	management               	                  11
range                    	range                    	                  11
revealed                 	reveal                   	                  11
parameters               	parameter                	                  11
cases                    	case                     	                  11
medical                  	medical                  	                  11
overall                  	overall                  	                  11
solution                 	solution                 	                  11
sequencing               	sequence                 	                  11
techniques               	technique                	                  11
bacterial                	bacterial                	                  11
dynamics                 	dynamic                  	                  11
negative                 	negative                 	                  11
pregnant                 	pregnant                 	                  11
background               	background               	                  11
therefore                	therefore                	                  11
conducted                	conduct                  	                  11
efficiency               	efficiency               	                  11
association              	association              	                  11
thermal                  	thermal                  	                  11
aA                       	aA                       	                  11
detection                	detection                	                  11
18                       	18                       	                  11
mESHD000275              	mESHD000275              	                  11
vibration                	vibration                	                  11
suture                   	suture                   	                  11
sNPtmvar                 	sNPtmvar                 	                  11
sNPvariantgroup          	sNPvariantgroup          	                  11
sNPcorrespondinggene     	sNPcorrespondinggene     	                  11
3479                     	3479                     	                  11
sNPrs                    	sNPrs                    	                  11
sNPcorrespondingspecies  	sNPcorrespondingspecies  	                  11
9606                     	9606                     	                  11
report                   	report                   	                  10
type                     	type                     	                  10
pH                       	pH                       	                  10
despite                  	despite                  	                  10
nCBIGene2214             	nCBIGene2214             	                  10
important                	important                	                  10
herein                   	herein                   	                  10
values                   	value                    	                  10
four                     	four                     	                  10
applications             	application              	                  10
electrochemical          	electrochemical          	                  10
small                    	small                    	                  10
term                     	term                     	                  10
001                      	001                      	                  10
outcome                  	outcome                  	                  10
practice                 	practice                 	                  10
structural               	structural               	                  10
diagnosis                	diagnosis                	                  10
assess                   	ass                      	                  10
analyzed                 	analyze                  	                  10
assessed                 	assess                   	                  10
mass                     	mass                     	                  10
major                    	major                    	                  10
participants             	participant              	                  10
muscle                   	muscle                   	                  10
conclusions              	conclusion               	                  10
healthcare               	healthcare               	                  10
chemical                 	chemical                 	                  10
tissue                   	tissue                   	                  10
several                  	several                  	                  10
external                 	external                 	                  10
genera                   	genus                    	                  10
metabolites              	metabolite               	                  10
vaccination              	vaccination              	                  10
primary                  	primary                  	                  10
needs                    	need                     	                  10
score                    	score                    	                  10
effect                   	effect                   	                  10
nCBIGene17874            	nCBIGene17874            	                  10
vivo                     	vivo                     	                  10
sBRT                     	sBRT                     	                  10
respectively             	respectively             	                  10
classification           	classification           	                  10
mESHD002244              	mESHD002244              	                  10
expansion                	expansion                	                  10
nCBIGene250              	nCBIGene250              	                  10
catalyst                 	catalyst                 	                  10
mESHD003474              	mESHD003474              	                  10
devices                  	device                   	                  10
nCBIGene1649             	nCBIGene1649             	                  10
oPAT                     	oPAT                     	                  10
bTO                      	bTO                      	                  10
gas                      	gas                      	                  10
mESHD015179              	mESHD015179              	                  10
nCBITaxon638626          	nCBITaxon638626          	                  10
anchors                  	anchor                   	                  10
nCBITaxon3847            	nCBITaxon3847            	                  10
nCBIGene131096           	nCBIGene131096           	                  10
healthy                  	healthy                  	                   9
physiological            	physiological            	                   9
demonstrate              	demonstrate              	                   9
matched                  	match                    	                   9
ch                       	ch                       	                   9
roles                    	role                     	                   9
attention                	attention                	                   9
density                  	density                  	                   9
proteins                 	protein                  	                   9
containing               	contain                  	                   9
multi                    	multi                    	                   9
promising                	promising                	                   9
mechanism                	mechanism                	                   9
criteria                 	criterion                	                   9
standard                 	standard                 	                   9
available                	available                	                   9
features                 	feature                  	                   9
state                    	state                    	                   9
shown                    	show                     	                   9
characteristics          	characteristic           	                   9
cognitive                	cognitive                	                   9
accuracy                 	accuracy                 	                   9
hospital                 	hospital                 	                   9
remains                  	remains                  	                   9
administration           	administration           	                   9
mESHD002104              	mESHD002104              	                   9
mESHD007501              	mESHD007501              	                   9
100                      	100                      	                   9
determine                	determine                	                   9
concentration            	concentration            	                   9
highest                  	high                     	                   9
